District;count_2017
Aleksandrovskiy rayon;22
Andropovskiy rayon;17
Apanasenkovskiy rayon;17
Arzgirskiy rayon;14
Blagodarnenskiy rayon;24
Budennovsk;42
Budennovskiy rayon;42
Essentuki;26
Georgievsk;19
Georgievskiy rayon;28
Grachevskiy rayon;14
Ipatovskiy rayon;28
Izobil'nenskiy rayon;34
Kirovskiy rayon;26
Kochubeevskiy rayon;25
Krasnogvardeyskiy rayon;15
Kyrskiy rayon;22
Lermontov;9
Levokumskiy rayon;20
Mineral'nye Vody;39
Mineralovodskiy rayon;39
Neftekumskiy rayon;23
Nevinnomyssk;35
Novoaleksandrovskiy rayon;36
Novoselitskiy rayon;10
Petrovskiy rayon;31
Predgornyy rayon;27
Pyatigorsk;41
Shpakovskiy rayon;31
Sovetskiy rayon;30
Stavropol';66
Stepnovskiy rayon;9
Trunovskiy rayon;12
Turkmenskiy rayon;11
Zheleznovodsk;14
